"parid","scheduleID","accuracy","original_label","note"
"210725_a120",14668484,0,"14668484_74LaMvM","I don't know"
"210725_a139",14758059,0,"14758059_23HaNMvM","clerk?"
"210725_a156",14930256,0,"14930256_53HaMvM","'folks'"
"210725_a156",14930256,0,"14930256_64LaMvM","'hat'"
"210725_a156",14930256,0,"14930256_72LaMvM","'cheese'"
"210725_a165",14947964,0,"14947964_90LaMvNM","'bnet'"
"210725_a176",15219350,0,"15219350_104LaMvNM","brent?"
"210725_a176",15219350,0,"15219350_118LaMvM","slave"
"210725_a176",15219350,0,"15219350_42LaNMvNM","dawn? usually L in response is clear"
"210725_a176",15219350,0,"15219350_87LaMvM","mock"
"210725_a176",15219350,0,"15219350_90LaNMvM","annette?"
"210725_a180",15192698,0,"15192698_127LaMvM","she said unknown"
"210725_a180",15192698,0,"15192698_134LaMvNM","ten"
"210725_a180",15192698,0,"15192698_38LaNMvNM","she said unknown"
"210725_a180",15192698,0,"15192698_41LaMvM","she said unknown"
"210725_a180",15192698,0,"15192698_64LaMvNM","the hen"
"210725_a180",15192698,0,"15192698_8LaNMvM","blane"
"210725_a180",15192698,0,"15192698_90LaNMvM","a net (annette)"
"210725_a185",15129350,0,"15129350_120LaMvNM","punch"
"210725_a185",15129350,0,"15129350_28LaMvM","pots"
"210725_a83",14570364,0,"14570364_139LaMvNM","t is made a affricative like ts"
"210725_a90",14625776,0,"14625776_35LaMvNM","'turb'"
"210725_a90",14625776,0,"14625776_60HaMvNM","nonword"
"210725_a90",14625776,0,"14625776_61LaMvM","a growl"
"210725_a96",14750145,0,"14750145_103LaMvNM","braft"
"210725_a96",14750145,0,"14750145_107HaNMvNM","a rope"
"210725_a96",14750145,0,"14750145_111HaNMvNM","self-correction"
"210725_a96",14750145,0,"14750145_134LaMvM","don't know"
"210725_a96",14750145,0,"14750145_23LaMvM","plop?"
"210725_a96",14750145,0,"14750145_61LaNMvM","grown"
"210725_a96",14750145,0,"14750145_79HaMvNM","glid"
"210725_a96",14750145,0,"14750145_82LaNMvNM","voiced 'g'"
"210725_c122",15102120,0,"15102120_121LaNMvNM","school"
"210725_c122",15102120,0,"15102120_128LaMvNM","one"
"210725_c122",15102120,0,"15102120_29LaMvM","discard_craft"
"210725_c122",15102120,0,"15102120_39LaNMvM","discard_doubt"
"210725_c122",15102120,0,"15102120_42LaMvNM","discard_dog"
"210725_c122",15102120,0,"15102120_88LaMvNM","discard_mout"
"210725_c122",15102120,0,"15102120_91HaMvM","discard_not"
"210725_c130",15367679,0,"15367679_103HaMvNM","unsure_braft"
"210725_c130",15367679,0,"15367679_105HaNMvNM","grim"
"210725_c130",15367679,0,"15367679_21LaMvM","unsure_clock"
"210725_c130",15367679,0,"15367679_35LaNMvM","unsure_cab?"
"210725_c130",15367679,0,"15367679_38LaMvNM","donnot know"
"210725_c130",15367679,0,"15367679_53LaNMvNM","frot?"
"210725_c130",15367679,0,"15367679_61HaNMvNM","unsure_grown?"
"210725_c135",15571068,0,"15571068_100LaNMvNM","unsure_toll"
"210725_c135",15571068,0,"15571068_104HaMvM","vanpt"
"210725_c135",15571068,0,"15571068_105LaNMvNM","unsure_vim"
"210725_c135",15571068,0,"15571068_108HaNMvM","vow"
"210725_c135",15571068,0,"15571068_133HaNMvM","unsure_thlout?"
"210725_c135",15571068,0,"15571068_136LaNMvNM","unsure_overlap in the onset"
"210725_c135",15571068,0,"15571068_14LaMvNM","unsure_boom?"
"210725_c135",15571068,0,"15571068_15HaNMvNM","unsure_buise"
"210725_c135",15571068,0,"15571068_32LaNMvNM","unsure_cop?"
"210725_c135",15571068,0,"15571068_36LaMvNM","dark"
"210725_c135",15571068,0,"15571068_53LaMvNM","unsure_fogs"
"210725_c135",15571068,0,"15571068_60HaMvM","unsure_guam?"
"210725_c135",15571068,0,"15571068_8LaMvNM","unsure_lame - there seems to be a burst, but I cannot hear it"
"210725_c135",15571068,0,"15571068_93LaNMvM","discard_I donot know"
"210725_c76",14745223,0,"14745223_108LaNMvM","brow"
"210725_c76",14745223,0,"14745223_123HaNMvM","discard_self-correction"
"210725_c76",14745223,0,"14745223_138LaNMvM","trup?"
"210725_c76",14745223,0,"14745223_139LaNMvNM","unsure_I think the onset is an afficative rather than a plosive"
"210725_c76",14745223,0,"14745223_140HaMvM","unsure_cannot figure out the onset - in fact, it sounds like dan rather than van to my ears"
"210725_c76",14745223,0,"14745223_21LaMvNM","club"
"210725_c76",14745223,0,"14745223_31LaNMvNM","unsure_sounds like quib"
"210725_c76",14745223,0,"14745223_50HaNMvM","blame"
"210725_c76",14745223,0,"14745223_76LaMvM","the knob"
"210725_c76",14745223,0,"14745223_78HaMvNM","blap"
"210725_c81",14745923,0,"14745923_123HaMvNM","discard_I think the child said sth before"
"210725_c81",14745923,0,"14745923_137HaNMvNM","discard_whole sentence repeated"
"210725_c81",14745923,0,"14745923_19LaMvM","shut"
"210725_c81",14745923,0,"14745923_53HaMvM","incomplete recording"
"210725_c81",14745923,0,"14745923_5HaMvNM","gream? incomplete recording"
"210725_c81",14745923,0,"14745923_60LaMvM","unsure_grim?"
"210725_c81",14745923,0,"14745923_64LaMvM","hand"
"210725_c81",14745923,0,"14745923_72LaMvM","unsure_geese?"
"210725_c81",14745923,0,"14745923_82LaNMvNM","voiced 'g' in the coda"
"210725_c84",14993977,0,"14993977_108LaMvM","a row"
"210725_c84",14993977,0,"14993977_138LaMvM","track"
"210725_c86",14742950,0,"14742950_118LaMvM","discard_said don't know"
"210725_c86",14742950,0,"14742950_121LaNMvM","discard_said don't know"
"210725_c86",14742950,0,"14742950_122LaMvM","discard_said don't know"
"210725_c86",14742950,0,"14742950_27LaMvNM","discard_said don't know"
"210725_c86",14742950,0,"14742950_58LaNMvNM","discard_girl"
"210725_c86",14742950,0,"14742950_64LaMvNM","discard_hand"
"210725_c94",14889970,0,"14889970_105LaMvM","room? vowel in TIN and CLIFF are fronter"
"210725_c94",14889970,0,"14889970_137LaNMvM","self-correction?"
"210725_c94",14889970,0,"14889970_28LaMvM","pops"
"210725_c94",14889970,0,"14889970_37HaNMvM","geck?"
"210725_c94",14889970,0,"14889970_5HaMvM","bean"
"210725_c94",14889970,0,"14889970_60HaMvNM","groan"
"210725_c94",14889970,0,"14889970_73LaMvM","jank"
"210725_c94",14889970,0,"14889970_96LaMvM","pearl"
"210725_c94",14889970,0,"14889970_97LaNMvM","pale?"
"210823_c177",15326180,0,"15326180_21HaMvNM","unsure_clock?"
"210823_c177",15326180,0,"15326180_2LaMvM","Van?"
"210823_c177",15326180,0,"15326180_43LaMvM","I don't know"
"210823_c177",15326180,0,"15326180_57HaNMvNM","unsure_clue?"
"210823_c177",15326180,0,"15326180_85LaMvM","nut?"
"210823_c177",15326180,0,"15326180_86LaMvNM","unsure_charity meal"
"210823_c177",15326180,0,"15326180_8LaMvNM","lame"
"210823_c177",15326180,0,"15326180_9HaNMvNM","cannot figure out what she said"
"210823_c179",15327645,0,"15327645_37LaMvNM","discard_debt"
"210823_c179",15327645,0,"15327645_41LaMvNM","unsure_die"
"210823_c179",15327645,0,"15327645_60LaNMvM","unsure_grinned"
"210823_c179",15327645,0,"15327645_69HaMvNM","unsure_hurt"
"210823_c179",15327645,0,"15327645_87LaMvNM","discard_mock"
"210823_c179",15327645,0,"15327645_98LaMvM","discard_time"
"210823_c179",15327645,0,"15327645_99LaNMvM","unsure_tot?"
"210719_a08",14866651,0,"14866651_108LaMvM","a row"
"210719_a08",14866651,0,"14866651_61HaMvNM","grown?"
"210719_a09",14867512,0,"14867512_141LaMvM","discard_works"
"210719_a10",14860025,0,"14860025_113LaMvM","feet"
"210719_a10",14860025,0,"14860025_121LaMvM","spoon?"
"210719_a40",14704561,0,"14704561_90LaMvM","discard_annette"
"210719_a59",14860196,0,"14860196_105LaMvM","discard_roo"
"210719_a59",14860196,0,"14860196_28LaMvM","unsure_pops?"
"210719_a59",14860196,0,"14860196_31HaMvNM","unsure_unsure onset"
"210719_a59",14860196,0,"14860196_50HaMvM","unsure_unsure onset"
"210719_a59",14860196,0,"14860196_53HaNMvNM","unsure_unsure onset"
"210719_a59",14860196,0,"14860196_54LaNMvM","unsure_unsure onset"
"210719_a59",14860196,0,"14860196_68HaMvNM","unsure_unsure onset"
"210719_a59",14860196,0,"14860196_73LaMvM","discard_chunk"
"210719_a59",14860196,0,"14860196_93HaMvM","unsure_unsure onset"
"210719_a59",14860196,0,"14860196_96LaMvM","unsure_unsure onset"
"210719_a59",14860196,0,"14860196_99HaMvNM","unsure_unsure onset"
"210719_c08",15216048,0,"15216048_27HaMvNM","discard_talk coin"
"210719_c08",15216048,0,"15216048_28LaMvM","discard_pots"
"210719_c08",15216048,0,"15216048_31HaMvNM","discard_ssss"
"210719_c08",15216048,0,"15216048_32LaMvM","unsure_croc"
"210719_c08",15216048,0,"15216048_38HaMvM","discard_gun"
"210719_c08",15216048,0,"15216048_51LaMvNM","unsure_flop?"
"210719_c08",15216048,0,"15216048_5HaMvM","discard_great beam?"
"210719_c27",15318438,0,"15318438_126HaNMvNM","shtrap?"
"210719_c27",15318438,0,"15318438_17LaNMvNM","car?"
"210719_c43",14729926,0,"14729926_121HaMvNM","pool"
"210719_c43",14729926,0,"14729926_133HaMvM","throats_also th too weak"
"210719_c43",14729926,0,"14729926_28LaMvNM","co..cops"
"210719_c43",14729926,0,"14729926_32LaMvNM","crap"
"210719_c43",14729926,0,"14729926_38LaMvM","dent"
"210719_c43",14729926,0,"14729926_74HaNMvM","discard_k..kick"
"210719_c45",15153565,0,"15153565_46LaMvM","jug?"
"210719_c45",15153565,0,"15153565_47HaMvNM","draf?"
"210719_c45",15153565,0,"15153565_91HaMvNM","not?"
"210719_c51",15126922,0,"15126922_114LaNMvM","sail? or unreleased k?"
"210719_c51",15126922,0,"15126922_20LaMvNM","unrealised s?"
"210719_c51",15126922,0,"15126922_28LaMvNM","pops"
"210719_c51",15126922,0,"15126922_37LaNMvM","unsure_is there a prenasaling or just a hmm before?"
"210719_c51",15126922,0,"15126922_38LaMvM","death?"
"210719_c51",15126922,0,"15126922_4LaNMvM","beap?"
"210719_c51",15126922,0,"15126922_50LaMvM","unsure_there is a hesitation, and I am not sure what this child is saying"
"210719_c51",15126922,0,"15126922_5LaMvM","tim"
"210719_c51",15126922,0,"15126922_73LaMvNM","unsure_cannot figure out what it is"
"210719_c51",15126922,0,"15126922_88LaMvM","unsure_ma or mou?"
"210725_a113",14876122,0,"14876122_109HaMvNM","unsure_psound"
"210725_a113",14876122,0,"14876122_114HaNMvM","unsure_psilk?"
"210725_a113",14876122,0,"14876122_119HaMvM","blash"
"210725_a113",14876122,0,"14876122_17LaNMvNM","scarf?"
"210725_a113",14876122,0,"14876122_4HaNMvM","creak?"
"210725_a113",14876122,0,"14876122_50HaMvM","unsure_fling?"
"210725_a113",14876122,0,"14876122_51LaMvNM","clock"
"210725_a113",14876122,0,"14876122_54LaNMvM","bulge?"
"210725_a113",14876122,0,"14876122_62LaNMvM","unsure_sounds like tay"
"210725_a113",14876122,0,"14876122_67LaNMvNM","psips?"
"210725_a113",14876122,0,"14876122_68HaMvNM","unsure_chive?"
"210725_a113",14876122,0,"14876122_91HaNMvM","cannot figure out what it is"
"210725_a130",14796603,0,"14796603_61LaNMvM","unsure_grown?"
"210725_a130",14796603,0,"14796603_64LaMvM","'hands'?"
"210725_a132",14693662,0,"14693662_25LaNMvNM","coat"
"210725_a132",14693662,0,"14693662_57LaMvNM","flu?"
"210725_a132",14693662,0,"14693662_7HaMvM","bent"
"210725_a132",14693662,0,"14693662_80HaMvM","knock"
"210725_a132",14693662,0,"14693662_82LaMvNM","voiced g"
"210725_a132",14693662,0,"14693662_98LaMvM","time?"
"210725_a133",14990368,0,"14990368_4LaNMvNM","unsure_beat?"
"210725_a136",14837862,0,"14837862_108HaMvNM","unsure_grow?"
"210725_a136",14837862,0,"14837862_4HaMvM","unsure_beaHk?"
"210725_a136",14837862,0,"14837862_58LaMvNM","discard_bowl"
"210725_a136",14837862,0,"14837862_90LaNMvNM","discard_annette"
"210725_a138",14861730,0,"14861730_117LaMvM","unsure_sides?"
"210725_a138",14861730,0,"14861730_120HaNMvNM","unsure_overlapped with alice"
"210725_a138",14861730,0,"14861730_14LaMvM","unsure_brew?"
"210725_a138",14861730,0,"14861730_59LaNMvM","discard_gang"
"210725_a138",14861730,0,"14861730_86LaMvM","discard_repeated two words"
"210725_a152",15094721,0,"15094721_62LaMvM","unsure_'hen'?"
"210725_a81",15036602,0,"15036602_35LaMvNM","unsure__curl?"
"210725_a81",15036602,0,"15036602_39LaMvNM","a dent"
"210725_a81",15036602,0,"15036602_7LaMvNM","unsure_brand?"
"210725_a81",15036602,0,"15036602_80LaMvNM","unsure_the lock"
"210725_a84",14783259,0,"14783259_73LaMvNM","unsure_chunk?"
"210725_a98",15151086,0,"15151086_21LaMvM","sound like 'clock'"
"210725_a98",15151086,0,"15151086_61HaNMvNM","sound like 'grown'"
"210725_a98",15151086,0,"15151086_86LaNMvNM","self correction"
"210725_a98",15151086,0,"15151086_88LaMvNM","'house'"
"210725_a98",15151086,0,"15151086_90LaNMvNM","'knet'?"
"210725_a98",15151086,0,"15151086_95HaNMvM","'prie'?"
"210725_c124",15410143,0,"15410143_136HaMvNM","quail"
"210725_c124",15410143,0,"15410143_17LaMvM","discard_car"
"210725_c124",15410143,0,"15410143_19LaNMvM","unsure_cat?"
"210725_c124",15410143,0,"15410143_4LaMvNM","unsure_bleak?"
"210725_c124",15410143,0,"15410143_65HaMvNM","unsure_had?"
"210725_c124",15410143,0,"15410143_67LaMvM","unsure_haps?"
"210725_c124",15410143,0,"15410143_98LaMvM","discard_time"
"210725_c125",15465974,0,"15465974_132LaMvNM","unsure_don't know the word? Or problem with 'th'"
"210725_c125",15465974,0,"15465974_37HaMvNM","discard_stack"
"210725_c125",15465974,0,"15465974_43HaNMvNM","discard_duck"
"210725_c125",15465974,0,"15465974_5HaNMvM","discard_bream"
"210725_c125",15465974,0,"15465974_86LaMvM","unsure_charity meal"
"210725_c128",15186960,0,"15186960_121LaMvNM","discard_changed her answer"
"210725_c128",15186960,0,"15186960_46LaMvNM","discard_joke"
"210725_c128",15186960,0,"15186960_64HaMvM","discard_mother hen?"
"210725_c128",15186960,0,"15186960_80LaMvM","discard_lop"
"210725_c128",15186960,0,"15186960_86LaMvNM","real"
"210725_c133",15185742,0,"15185742_105HaMvM","something before 'rim'"
"210725_c133",15185742,0,"15185742_134LaNMvNM","repeat the sentence"
"210725_c133",15185742,0,"15185742_30LaNMvM","the crew"
"210725_c133",15185742,0,"15185742_68LaNMvNM","the hive_hive"
"210725_c133",15185742,0,"15185742_91HaMvNM","not"
"210725_c141",15355404,0,"15355404_107HaNMvNM","unsure_a rope"
"210725_c141",15355404,0,"15355404_108LaMvNM","unsure_a row"
"210725_c141",15355404,0,"15355404_121HaMvM","discard_school"
"210725_c141",15355404,0,"15355404_17LaMvNM","discard_don't know"
"210725_c141",15355404,0,"15355404_27LaMvM","discard_don't know"
"210725_c141",15355404,0,"15355404_42HaMvNM","discard_don't know"
"210725_c141",15355404,0,"15355404_59LaMvNM","discard_gap"
"210725_c141",15355404,0,"15355404_64LaMvM","discard_head"
"210725_c141",15355404,0,"15355404_72LaMvM","discard_don't know"
"210725_c141",15355404,0,"15355404_98LaMvNM","discard_pies"
"210725_c96",14886549,0,"14886549_121HaNMvM","spoon"
"210725_c96",14886549,0,"14886549_30LaMvM","gray"
"210725_c96",14886549,0,"14886549_78LaMvNM","lab"
"210725_c98",14889358,0,"14889358_116LaMvM","sleeved?echo can't be told clearly"
"210725_c98",14889358,0,"14889358_132HaMvNM","dorns? "
"210725_c98",14889358,0,"14889358_86LaMvNM","charity meal"
"210818_c166",15254546,0,"15254546_123LaMvNM","discard_fricative not captured"
"210818_c166",15254546,0,"15254546_17HaMvNM","palf"
"210818_c166",15254546,0,"15254546_21LaMvM","don't know"
"210818_c166",15254546,0,"15254546_31HaNMvM","crim"
"210818_c166",15254546,0,"15254546_76LaNMvNM","knowl"
"210818_c166",15254546,0,"15254546_86LaNMvNM","charity meal"
"210823_c180",15344475,0,"15344475_104LaNMvNM","unsure_r..rent"
"210823_c180",15344475,0,"15344475_137LaMvNM","track"
"210823_c180",15344475,0,"15344475_46LaMvM","unsure_response cut off...jar?dru?"
